#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
-10.587500000000	-2.3386735916138	0.98659014701843
-10.450000000000	-2.3114380836487	1.0024249553680
-10.312500000000	-2.2842020988464	1.0182597637177
-10.175000000000	-2.2569665908813	1.0340948104858
-10.037500000000	-2.2297306060791	1.0499296188354
-9.9000000000000	-2.1994352340698	1.0639879703522
-9.7625000000000	-2.1672308444977	1.0769380331039
-9.6250000000000	-2.1350266933441	1.0898880958557
-9.4875000000000	-2.1028223037720	1.1028380393982
-9.3500000000000	-2.0706181526184	1.1157881021500
-9.2125000000000	-2.0346236228943	1.1263687610626
-9.0750000000000	-1.9979162216187	1.1365034580231
-8.9375000000000	-1.9612088203430	1.1466381549835
-8.8000000000000	-1.9245016574860	1.1567728519440
-8.6625000000000	-1.8875243663788	1.1667226552963
-8.5250000000000	-1.8468185663223	1.1741173267365
-8.3875000000000	-1.8061130046844	1.1815121173859
-8.2500000000000	-1.7654073238373	1.1889066696167
-8.1125000000000	-1.7247016429901	1.1963014602661
-7.9750000000000	-1.6829831600189	1.2029179334641
-7.8375000000000	-1.6388244628906	1.2076592445374
-7.7000000000000	-1.5946655273438	1.2124006748199
-7.5625000000000	-1.5505068302155	1.2171419858932
-7.4250000000000	-1.5063480138779	1.2218834161758
-7.2875000000000	-1.4607002735138	1.2253024578094
-7.1500000000000	-1.4136734008789	1.2274966239929
-7.0125000000000	-1.3666462898254	1.2296907901764
-6.8750000000000	-1.3196194171906	1.2318849563599
-6.7375000000000	-1.2725925445557	1.2340791225433
-6.6000000000000	-1.2238949537277	1.2344731092453
-6.4625000000000	-1.1746256351471	1.2342507839203
-6.3250000000000	-1.1253560781479	1.2340284585953
-6.1875000000000	-1.0760867595673	1.2338061332703
-6.0500000000000	-1.0268173217773	1.2335836887360
-5.9125000000000	-0.97601521015167	1.2311687469482
-5.7750000000000	-0.92516696453094	1.2286878824234
-5.6375000000000	-0.87431865930557	1.2262068986893
-5.5000000000000	-0.82347047328949	1.2237260341644
-5.3625000000000	-0.77244919538498	1.2208378314972
-5.2250000000000	-0.72072029113770	1.2162857055664
-5.0875000000000	-0.66899150609970	1.2117335796356
-4.9500000000000	-0.61726260185242	1.2071814537048
-4.8125000000000	-0.56553381681442	1.2026295661926
-4.6750000000000	-0.51374000310898	1.1972942352295
-4.5375000000000	-0.46185714006424	1.1908881664276
-4.4000000000000	-0.40997439622879	1.1844820976257
-4.2625000000000	-0.35809153318405	1.1780760288239
